title,company,location,link
Data Scientist - Analytics CoE,Hero FinCorp,"Gurugram, Haryana",https://in.indeed.com/rc/clk?jk=740265cb37f8137b&bb=XbERbbPy2qSIfOLjgbo3X-5hde-PpzGz7p0l_2_Q_mthrB8W46isXcKQV4mcL4AaD8GcuQHDuBqGMoyI9nsEHLT1S7OfmUk66jWhzZKO0qvAIkaJOd6nriCtM2BNl2-gQYA5zOy40g2oTjmpdTVMsg%3D%3D&xkcb=SoAR67M3jAtqKCzDVB0LbzkdCdPP&fccid=a230af6e56b7cef1&vjs=3
Data Engineer - X Delivery,Boston Consulting Group,"Gurugram, Haryana",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1FFWZOsBBwBZDGouyCcICeLSd3pQct3wJ1q5dPO7JNFPcbpYQ1XCYdTOV-ko2T57wlnQKHsRLP7P7BDYnxuJ3YoleXL9Cx1xL2MIF5_jcaKBnnzI6gbA2EDK_URH6tGCCIecFq2Z-L3IJbvbsKbWQMscVALTj6HE9uhGXnppVASQ_wkzGIjuCzaWzLwsXXqxA7CnAj_roL7ZjiuVELR_tLZewrkADZBXbITPqzw_rBlq_F6c9FC8lwYTIRDexjZtEknNte0BwPq27pof7zzPfWSVWbhcgefB_iAK6pNw0spUjS0U1HZMHPV4nOSayHpE8Jqh7n3aMvjdo_XbjIp1XtBCx_ri6Az7jGTtT54H7J-Aq6LfMEEPqMj29uKSOAc6DxScRa5JV19Or441xT4oqzXlPn0hQEl1ZQJHluZW958Vrr9m5UajZENFToH5NKSTkHKrwyZeiQtJhfAVpbLu9VwOrIeTyKZT_QTrmh1Us_F3fkPlNDsK4wQ9NRocZUEFLbKpkva46fnJ4jGt1Kop0nyOkupsF8zZHIHzfhNl9FOf6geAniOf06Dzamdt73lvpqgP2oHf4lH35x5Fu8wXOYe5ZuecOE1o8ooi-XfNAfg6aPrm3SieUhd6WhLgT4jfXCzyvn6m92W4ooVpmsjar9RK9F2xvhUM6Z3S3f8Re2wEmcgcPQKRz1qdTyu6lgxuYa3pm26lwbRamtOkpBFdfi5dCIRKCiS5W0frQtszIR2uYbNeXFcyRfHyJHKWWeQ-v2CjyWYtuHznEJcLalsiD6aeLhBKiSqbGLni0u_y5uIbVpSZm6Xh_gt-32z0ymEK0gIV0U3sGKjzie_7OEyu__xRFsDzHTERt4y8QSUkm3MOSWWD4JZcxcMV1BiVljFWrAFC23kZ3NBf1D5dq1Myy6i4CrckDx3khuKIoS3yBkMgRNgOTMAPuwQ6H4fvp0MRLNbpA08d0Pax7FkE4Rk_XE0MjqqpdrGbiCWotTN5zHzJDfqEcCeNf9HXYfC487rF4rsw9ktLEQkkh5G3SMOLVz-SzzmCScFpvOgE_ywyCGJX-YQSVukBp7IjxQnKBhzA2EU2gI0QyZoHtmQcNMYVQGEWbT3jx0tCIC8HxFGgoEasyVISYRemxqXKHXmoX3zFyHBgTY2rRISTNC0uLQDfaVu4atYsTyTdOGb1HGvRksm7fDf9nfdTOWu86CSdB4Lu7bFcZhm6DDeTQg4UN0viHKVniNCB-SrPdhFyunAMMrIDKpvU-PmadDcZ8wBeJbP1Y71eBQD1vNpw3N7ANOrC03-RiixKcvaESWBOJXXMqzfIr8V5LyKqeQOf35Yci-qUc-Vs9JjnEKOOixNk6wAgto0_q1wvjasqtSSjCYSNydHnpzqCviSX2ft46sZEL7g=&xkcb=SoBR6_M3jAtqKCzDVB0KbzkdCdPP&camk=C3EPSzFlQw-Kxz8aVjN35w==&p=1&fvj=0&vjs=3
Data Scientist,BIZ-METRIC PARTNERS,India,https://in.indeed.com/rc/clk?jk=aa6171aedd8d53b7&bb=XbERbbPy2qSIfOLjgbo3XwUVHEeY6j2u37oVZO7dPCNwFTIhL8RZnz1QTx-qAJ4u8qZob4XYZCJPVFwje720BYk_IMegOItavTOUNmBQPHLxpkdrkKMUvetZRneP2NqmyKv33bOky4yVI791p-_yEQ%3D%3D&xkcb=SoA467M3jAtqKCzDVB0JbzkdCdPP&fccid=0ed67941959bd3c6&vjs=3
Data Scientist,Safran,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=c35313de6cfbeb62&bb=XbERbbPy2qSIfOLjgbo3X9Hrx_uSXxwXgzG6u-oMwh7Mv50EOmRZMsgeICxrB6HFN_Re_dJogHamphNl__69FiuYzEEc8CezchKM7tP2rpURD7H9tpVDGSebveZV5UJKRU2t_7J8sCU2foM1-d-I6g%3D%3D&xkcb=SoCM67M3jAtqKCzDVB0IbzkdCdPP&fccid=b3885ca934ed0066&vjs=3
Lead Data scientist,Weekday,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=8597cc7282e8f396&bb=XbERbbPy2qSIfOLjgbo3X7oOI6d_KP5jQ_TCaozAeGGUNhX0N3_Nxc8yO4dEyWnPRHyEjiFaESMwXsSfTTGucWb1BQSXTv4PC54b4tnLKu70FkpY3_Oq9gyVHZ2BBMMBJblZ_-v-TFOnWOg59uCY4A%3D%3D&xkcb=SoAC67M3jAtqKCzDVB0PbzkdCdPP&fccid=bddd218f3c4f6f22&vjs=3
Lead Data scientist,Weekday,"Mumbai, Maharashtra",https://in.indeed.com/viewjob?jk=123456789abcdef0
Data Scientist,Renovision Automation Services Pvt. Ltd,Delhi,https://in.indeed.com/rc/clk?jk=0aff5007e1211dac&bb=XbERbbPy2qSIfOLjgbo3X_fZN3Rzz7uo2zAro6i5yguvpiLN0e5q5C9s0JXIN3j4v-69OIZgR54eIhIPYaL2LNQk3DqZkQEbWaYDo22V7L6YLH0LldTEVAGIbWU23VSm7T1ytuqePzqw7Ybc9IHV1g%3D%3D&xkcb=SoC267M3jAtqKCzDVB0ObzkdCdPP&fccid=4821a309869eefc5&cmp=Renovision-Automation-Services-Pvt.-Ltd&ti=Data+Scientist&vjs=3
Senior Data Engineer I - Marketplace,Booking Holdings,"Bengaluru, Karnataka",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Asx0rKiHSXymkO8slWtT2xWkY1-oduHI0IsT-7aqdY0OCwOFuYw35h6PYkRa7j_YPAXVrS1bdMI5WRzIvbELDHW326Z96mO2uTZtWeDPL-XQl0rZXWek9cQWimKZHx-l9Wom7lE1rBZTVHNycyv0y-64pqlZEuoyFCPj2iwIvWXsb-ohkmvwmVGquMYabsdHV4KAEDtKatMh1vA6n4kjGJDOW47xCK0_2B8xRawCgpI3lB7j42io27CfBDkZoQhBO6YLbBlDQx_Gr_Cr11Hu787RAzXq60-JH9ECM5_yaSJccRd82PUjYH9_H5wm3N28NHdFTWE2JE1qIkyIKtKgdhtmqEy2gAjwxwyGWZzmTel1gY2HV15egXG8soSCO22iCweBzqMX2nRGyx17ioi3TkRTzV9o4NBXlKKZVmJ_TLUbxs8e8j8jxFl6_-3K6U3rZTb8vQAMInlhvGO_TxYLreL5CVFHjFh9UdYS8kDJRLvyYmInHk-XmzPkfO5JxdD21YxAV-eGvLZRLkfWS5xUj2aWeKEhGPx3hXUaMK7Sop_NuOmRohsRormJa31LkZYzxGMayzfvo1Q0vVYOdncRN3VX01WxZVUmkVTytpRde7b-1RhEih_ITVfplQ017MIigAzE80OYludx0FJIl_OUw3U73vxxikCpUy1bex_ynMWAPrLGzGR46YgAEGk8Suw6pyPB9fBrZa4EiwWshKxFw9LUdEWlGbluHdJy12RWr5Pmb-mBGbaFi-NzfA6dD9t2fuEd0Yb0w6iadkH8LU506w-y7Cmnc1DvObmO61rsa3LmgqUptpTXQ4alaD0plNV1ctAbIWv40G0lYnop2UbdLthRAvQLrUjvJXYAjrLQSo-zHI-MrREHmjjJThrA1-gUzGj77NyZJinFBWzXTaNDp9&xkcb=SoDf6_M3jAtqKCzDVB0NbzkdCdPP&camk=C3EPSzFlQw_ZGffWIKGdrQ==&p=6&fvj=0&vjs=3
Lead Data Scientist,AtkinsRéalis,"Remote in Bengaluru, Karnataka",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BinXbyPZuTL8Uaf9gTo8hf95uXmUwO-bTspgIeQUffKjaCS09LIU4hDJZQyppjvRwboBtDueNnz3nr3PF8xIZmCNG_nwTk13QrTpHNXk2b3KXp1fRR_RJ6YIr9huXoazDVwgcRJmw5VXSI5QqXEK2g0stgjENciXaCwTZD6iGrpXqZVwxtlb9FufGwPVHQGJIxxz_Sa3dCkbL-XkUKgwOjLYXp9BcLQtwuRWzZPRHFbax1SGWcUp7jwkW1Fh7gA_J8_d4PFltG3YKYqd8-Qu-wtLFv6Qb0xTiYv8w7qINPSutwBS1Oq2TFDgBWBte-1W2LWlQc1RAK0EaLTpxLGg33s9leYS0SOqxM5sRWhzjbvcExhKVBS6qtlEC928PDwm23T9OE_UCvS4ZNiF_IbKn6Xe3VVkhK3S58WK24F5g8W8zVfv6Vax3b-O9g0GAHVdpvimSDsOmhllqeyg5m34Yr_XPh0uz39ppli6W1yqJULUuDcUMWH7usWzKwGAK22VwIOWSFnSP5YHXRB5X-jiTxfcjGsOtLS3LhFgY0-n951uTm5mbRJT5ZOXHN1Z4mvHb0Vom1ubImakGwj-GFqlAs6x0PKCajcs860mIMnSi0t25WilPhfgJKDkQvsF1cM1VAYfXuye6XpGRELavOu-oJdJYzZDCdN3_j4kBC2V8Iew==&xkcb=SoBr6_M3jAtqKCzDVB0MbzkdCdPP&camk=UoKtGZLa3XKWE0QO0r2SWA==&p=7&fvj=0&vjs=3
Junior ML Engineer,Adela Software & Services (P) Limited,"Tiruchchirappalli, Tamil Nadu",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DfsCiTW1a5A25yJSvifo2CnpPFPof-fSFDTma1PoK-ptpobxHpaWVq5OxFEmfJC2aOuufrLkHZjNo9HVS1BxZyXGduYEDie7_AtFoQfCdGeEX44szPQRByyNNkLZuS7IG55_JyLmRoISFCqlFoCYkIg8gZUsWvTtOtIlqLNXRJIHG-JD5MWqAEm0YUsF4IYaM2z8cJk7xyy1pCuxHeLZHs-XQz0ZPF8kxINsIvpQihdMj1vBlN16QUpTPAvhdnIDrE_O_M8j-ApuxpKTmbG5vX20iTBoY6wvMh8oNgjJ-I1qKvS5a0xLMlj3UxQaSgB5YFlbHPwpUPOdSLm7Ptzgml6DQTemiV24wKnB3knYdKoAJ4U6nywKLRaL8zGBXNXrAiNuny4qTvLoOY3iuP-g4XnGf-deogpoSeQOkgBqa9AZ0qy5C99Nf5qpblfucL6iRlqPvN998feraUKIINramCq35VNWIkvfmIceQqSlmKU-eUVRKtnM4-oC8TtgWON36wY3ik2Y0fr6iQl8gzdgxr1Cxe9WjLWtfMXOOqnRX7QCtaG04HwiAvJO68lDRMPSmfgIbFNjk5n4ZLG8OtHukY9x7EdAoiJzNAZUeDf6HqHpkHMRFkjXYZgAbEOq4AphfrQbNswmNPE9UJrydyHaev&xkcb=SoCC6_M3jAtqKCzDVB0DbzkdCdPP&camk=nUmJqO2E8rhfG5xmDoj2jg==&p=8&fvj=0&vjs=3
