title,company,location,link
Senior AI Engineer / Senior Data Scientist,SwarmLens Pvt. Ltd.,"Kochi, Kerala",https://in.indeed.com/rc/clk?jk=d846b625bcb63efc&bb=ZSXSIMs9D0qnX6GHDqRBPDNZpCx8rBh_XCAvJbgQPZqyrwY5hlgn0PcrJv97OwEiH0V69O_74M_GJxmgWfK_3rFy-9SDXuJupvRoi2fqk_CzS_PLppCy8LSZbCj19ad862egd3iSnNa-r_BWfQ5jvQ%3D%3D&xkcb=SoBq67M3jA497MTCT50AbzkdCdPP&fccid=4f4ddee1b34da36a&cmp=Swarmlens&ti=Senior+Data+Scientist&vjs=3
Lead AI Scientist,Candescent (Digital First Holdings LLC),"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=2139d1ce45c923ce&bb=ZSXSIMs9D0qnX6GHDqRBPGpvKazVLNvNAX2PMHmzC7HbyPFw967WOHmjaNNXKPu7Wmu6TQ0lrJVWLOeoXXoSMon9QajUDJRqzx8g1LBvjqXeF9mJH6BHw79xHNe7E-n0XsnROTGbjF3a7Op1VruL7A%3D%3D&xkcb=SoDk67M3jA497MTCT50HbzkdCdPP&fccid=332b2bf7195e18f8&vjs=3
Senior Data Engineer - AI/ML,GSSTech Group,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=0ae4a3d589064c20&bb=ZSXSIMs9D0qnX6GHDqRBPDGtLCdVdjMX1m_ai89zyqzzrXGKuhaTlbrwXy0MuXwWI38k1ruJB6e7XDnVfXWt-kq2n_PqgU0MnRS598Q7vO9fD_rrWt7APjlVTE-44EBReSXbhsan0PpSsvUKBorUbw%3D%3D&xkcb=SoBQ67M3jA497MTCT50GbzkdCdPP&fccid=ba91459a9528dd0c&vjs=3
Senior AI/ML Engineer,VT Netzwelt,"Mohali, Punjab",https://in.indeed.com/rc/clk?jk=aecf334b8764ff01&bb=ZSXSIMs9D0qnX6GHDqRBPAZhPEP8d4mWs5tl-6jDvfRWIt4DoKNi6zesfSk-O6OTt3teFCHroxTWudaOKjMYvLmLgpCPKFNFXctA2tSQGM7Nok_WB03jyG_V8IvJ2MVx9PY7-O-AHSjFRDiJNZAF2w%3D%3D&xkcb=SoDN67M3jA497MTCT50FbzkdCdPP&fccid=5ed441a565eeff1d&vjs=3
Senior Data Scientist,vConstruct,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=5ce12b41e9389014&bb=e6eLvopbRNzmW_jbw2AV7YugYYZsCgLFLOLhU0CS1pZ14ueCQ-YEVARW_Vs8JGET44MM3SlOYcyuFgPiwFdt-jJZW-6tZ8K82LNwjfACoEElI2bPvh_54UNVstk8WvzJ_Z73g5-3SXyyRIpE_9FQCQ%3D%3D&xkcb=SoAI67M3jA45CbzCcZ0LbzkdCdPP&fccid=7d7d6e1692e157dc&vjs=3
Sr. Data Scientist,Shree HR Services,"Hyderabad, Telangana",https://in.indeed.com/rc/clk?jk=8b55add10ed85f6a&bb=e6eLvopbRNzmW_jbw2AV7R8O99O88NylCLm3NcPZbyLJMWiz_wwTFoS6plWVU5p6dU1BsY_WbENhAj3Kna8hdhCMUPrBueoR-FnBJ6AuAacN8c5wgsFP6ePU2npWeD4nf_5WBYudx_-zsHNfqWucyg%3D%3D&xkcb=SoC867M3jA45CbzCcZ0KbzkdCdPP&fccid=4739c2ddb668a711&cmp=Shree-Hr-services&ti=Senior+Data+Scientist&vjs=3
Senior/Lead Data Scientist - GEN AI,Srijan Technologies PVT LTD,"Hybrid work in Gurugram, Haryana",https://in.indeed.com/rc/clk?jk=afa3295bf7658c61&bb=e6eLvopbRNzmW_jbw2AV7ShsYO-PIyl848je8FqdjWEokRXOv8TEhVzLRLrJG9ZmnnZAsRzkhP4ejEfJ4ipNRfNke1i24ylaFX4fxp9j50Mea9osSeJEEikyC_skyFxLExnQgL0FCD5RngdComd2fQ%3D%3D&xkcb=SoAh67M3jA45CbzCcZ0JbzkdCdPP&fccid=ce26d549c132788a&vjs=3
Senior AI/ML Data Scientist,Somnetics,"Kolkata, West Bengal",https://in.indeed.com/rc/clk?jk=5954376e3ef51439&bb=e6eLvopbRNzmW_jbw2AV7b0Epj8LYP7rG7r7vZTy2ObskWotMTao1A874frT2FfH4x7G1WA_J6QjzrJFPNc3zXsDrAiaMETTGL7YMQGiRYrOsh3zVJMOzLMpyK_OSgtHQxmUrEb-IYHESxLXuK5sVQ%3D%3D&xkcb=SoCV67M3jA45CbzCcZ0IbzkdCdPP&fccid=f069781a61815517&vjs=3
Senior Data Scientist,ShyftLabs,"Noida, Uttar Pradesh",https://in.indeed.com/rc/clk?jk=d0cc168b9b6db2fb&bb=e6eLvopbRNzmW_jbw2AV7SYp_X51AnNcRYd3e_RbzRN7luQeztFUEqY0FWChNrk7PNnUfp8Ri7TFpHdqZ7bgIaovM5FPRHSoK4VIIw5DyYEYe0ztEr2YWd01WtHcD9zFPS3uD4vF9CZYys3REVSZrQ%3D%3D&xkcb=SoAb67M3jA45CbzCcZ0PbzkdCdPP&fccid=2d1ea5cfea74cda1&vjs=3
Senior Data Scientist,Nference,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=e692450a7f85df77&bb=e6eLvopbRNzmW_jbw2AV7SYp_X51AnNcqKI4uc9BEHD4UHZmSaMLn3t4lwzradhRvK1Yp6CyvciWslJ6viWeWc2GnOYwD_PiGHSfXkAn7XRXCe_jGtJ3ZAmNWsrpUCwmkQKwQceEEANilYmK5vGMBg%3D%3D&xkcb=SoCv67M3jA45CbzCcZ0ObzkdCdPP&fccid=f3aee6761ce9b6ff&vjs=3
